['10/27/2014', '9:16:52 AM', '1.042120E-1', '1.000293E+0', '1.042623E-1', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.154362', '25.338326', '24.124157', '25.272099', '26.626081', '29.908016', '29.510653', '30.047363']
['10/27/2014', '9:16:53 AM', '1.042120E-1', '1.000293E+0', '1.042623E-1', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.154362', '25.338326', '24.124157', '25.272099', '26.626081', '29.908016', '29.510653', '30.047363']
['10/27/2014', '9:16:54 AM', '1.043125E-1', '1.000290E+0', '1.043332E-1', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.147003', '25.522293', '24.072649', '25.268421', '26.644478', '29.819714', '29.300932', '29.874903']
['10/27/2014', '9:16:55 AM', '1.043125E-1', '1.000290E+0', '1.043332E-1', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.147003', '25.522293', '24.072649', '25.268421', '26.644478', '29.819714', '29.300932', '29.874903']
['10/27/2014', '9:16:56 AM', '1.043773E-1', '1.000291E+0', '1.043775E-1', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.139303', '25.441006', '24.068628', '25.238644', '26.721403', '29.808334', '29.337383', '29.940788']
['10/27/2014', '9:16:57 AM', '1.044262E-1', '1.000289E+0', '1.044169E-1', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.135624', '25.433647', '24.083344', '25.260719', '26.618382', '29.782579', '29.385214', '30.028807']
['10/27/2014', '9:16:58 AM', '1.044262E-1', '1.000289E+0', '1.044169E-1', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.135624', '25.433647', '24.083344', '25.260719', '26.618382', '29.782579', '29.385214', '30.028807']
['10/27/2014', '9:16:59 AM', '1.044559E-1', '1.000291E+0', '1.044492E-1', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.153830', '25.411381', '24.068436', '25.216377', '26.691776', '29.723518', '29.381346', '29.958994']
['10/27/2014', '9:17:00 AM', '1.044559E-1', '1.000291E+0', '1.044492E-1', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.153830', '25.411381', '24.068436', '25.216377', '26.691776', '29.723518', '29.381346', '29.958994']
['10/27/2014', '9:17:01 AM', '1.044795E-1', '1.000290E+0', '1.044705E-1', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.157339', '25.381775', '24.141851', '25.326584', '26.768871', '29.646084', '29.197208', '29.804293']
['10/27/2014', '9:17:02 AM', '1.044795E-1', '1.000290E+0', '1.044705E-1', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.157339', '25.381775', '24.141851', '25.326584', '26.768871', '29.646084', '29.197208', '29.804293']
['10/27/2014', '9:17:03 AM', '1.045085E-1', '1.000286E+0', '1.044859E-1', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.135071', '25.388943', '24.167416', '25.337433', '26.735565', '29.686363', '29.208055', '29.804100']
['10/27/2014', '9:17:04 AM', '1.045085E-1', '1.000286E+0', '1.044859E-1', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.135071', '25.388943', '24.167416', '25.337433', '26.735565', '29.686363', '29.208055', '29.804100']
['10/27/2014', '9:17:05 AM', '1.045188E-1', '1.000286E+0', '1.045114E-1', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.145937', '25.377733', '24.126772', '25.432922', '26.705961', '29.778175', '29.362413', '29.969498']
['10/27/2014', '9:17:06 AM', '1.045437E-1', '1.000286E+0', '1.045225E-1', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.145746', '25.344429', '24.115543', '25.484241', '26.830864', '29.656567', '29.299675', '29.847891']
['10/27/2014', '9:17:07 AM', '1.045437E-1', '1.000286E+0', '1.045225E-1', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.145746', '25.344429', '24.115543', '25.484241', '26.830864', '29.656567', '29.299675', '29.847891']
['10/27/2014', '9:17:08 AM', '1.045517E-1', '1.000285E+0', '1.045341E-1', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.142067', '25.285561', '24.104504', '25.292919', '26.783033', '29.855249', '29.461565', '30.097124']
['10/27/2014', '9:17:09 AM', '1.045517E-1', '1.000285E+0', '1.045341E-1', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.142067', '25.285561', '24.104504', '25.292919', '26.783033', '29.855249', '29.461565', '30.097124']
['10/27/2014', '9:17:10 AM', '1.045758E-1', '1.000284E+0', '1.045467E-1', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.152935', '25.248596', '24.119051', '25.233879', '26.937395', '29.821964', '29.369411', '29.954420']
